id,sku,name,action,categories,status,permalink
15660,GGS/RGS/WGS/WPGS,Christmas Gift Stocking,DRAFTED,"Festive Decor, Festive Trees, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15660
15655,SRB/RRB/GRB,Round Décor Ball,DRAFTED,"Decor, Festive Decor, Festive Trees, Homeware, Kitchen &amp; Table Accessories, Lifestyle &amp; Everyday Essentials, Novelty, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15655
15654,HAA,Hanging Accessory - Acorn's,DRAFTED,"Festive Decor, Festive Trees, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15654
15705,CGS,Christmas Globe with sand- No light,DRAFTED,"Festive Decor, Festive Trees, Lifestyle &amp; Everyday Essentials, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15705
15701,7235U15701,Christmas Globe with Light and Snow,DRAFTED,"Festive Decor, Festive Lights, Festive Trees, Lifestyle &amp; Everyday Essentials, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15701
15696,SWHS,Snowflake Wooden Hanging Sign,DRAFTED,"Festive Decor, Festive Trees",draft,https://happyharvesting.co.za/?post_type=product&p=15696
15785,WCT,White Christmas Tree,DRAFTED,Festive Trees,draft,https://happyharvesting.co.za/?post_type=product&p=15785
15781,7C8SQ15781,Green Christmas tree,DRAFTED,"Christmas, Festive Trees",draft,https://happyharvesting.co.za/?post_type=product&p=15781
16237,4HZVP16237,Christmas Tree with White Snowflakes,DRAFTED,"Decor, Festive Trees, Homeware, Kitchen &amp; Table Accessories, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=16237
15647,SSGO,Starlight Splendor Gleaming Ornaments for a Merry Tree,DRAFTED,"Festive Decor, Festive Trees, Novelty",draft,https://happyharvesting.co.za/?post_type=product&p=15647
15653,HTA,Hanging Tree Accessory - Santa's House,DRAFTED,"Festive Decor, Festive Trees, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15653
15449,WHCE,Wooden Hanging Christmas egg,DRAFTED,"Decor, Festive Decor, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15449
15511,HST,Hanging Santa - Tree Accessory,DRAFTED,"Decor, Festive Trees, Lifestyle &amp; Everyday Essentials, Novelty, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15511
15361,SGMD,Sparkling Gold Symphony,DRAFTED,"All Products, Christmas, Decor, Festive Decor, Lifestyle &amp; Everyday Essentials, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15361
15386,PUK2E15386,Star Bell - Tree Décor,DRAFTED,"Christmas, Decor, Festive Decor, Lifestyle &amp; Everyday Essentials, Under R99",draft,https://happyharvesting.co.za/?post_type=product&p=15386
