ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _yoast_wpseo_metadesc
,simple,F02926,Liquid Rubber 5LT Red Oxide,1,,visible,,,,,taxable,,1,2,3,0,0,,,,,1,,,305.82,"All Products, Hardware",,,,,,,,,,,,,Olive,,,,,
,simple,F02927,Liquid Rubber 5LT Black,1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,305.82,"All Products, Hardware",,,,,,,,,,,,,Olive,,,,,
,simple,F02928,Liquid Rubber 5LT Grey,1,,visible,,,,,taxable,,1,1,3,0,0,,,,,1,,,305.82,"All Products, Hardware",,,,,,,,,,,,,Olive,,,,,
,simple,F02929,Liquid Rubber 20LT Red Oxide,1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,1014.3,"All Products, Hardware",,,,,,,,,,,,,Olive,,,,,
,simple,F02930,Liquid Rubber 20LT Black,1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,1014.3,"All Products, Hardware",,,,,,,,,,,,,Olive,,,,,
,simple,F02931,Liquid Rubber 20LT Grey,1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,1014.3,"All Products, Hardware",,,,,,,,,,,,,Olive,,,,,
,simple,F02932,Plaster Primer Interior/Exterior Water Based 5LT,1,,visible,,,,,taxable,,1,2,3,0,0,,,,,1,,,161.0,"All Products, Hardware",,,,,,,,,,,,,Protea Range,,,,,
,simple,F02933,Plaster Primer Interior/Exterior Water Based 20LT,1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,577.99,"All Products, Hardware",,,,,,,,,,,,,Protea Range,,,,,
,simple,F02934,"Olive Range Roof, Stoep & Pave Coat 5LT - Red Oxide",1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,191.59,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F02935,"Olive Range Roof, Stoep & Pave Coat 5LT - Burgundy",1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,191.59,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F02936,"Olive Range Roof, Stoep & Pave Coat 5LT - Black",1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,191.59,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F02937,"Olive Range Roof, Stoep & Pave Coat 5LT - Grey",1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,191.59,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
,simple,F02938,"Olive Range Roof, Stoep & Pave Coat 5LT - Charcoal",1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,191.59,"All Products, Hardware",,,,,,,,,,,,,Olive Range,,,,,
