wc_id,sku,name,type,published,supplier,regular_price,has_price,has_image,has_desc,categories,gaps
30996,QW4P7930983,Condere Induction cooker - C-cpsf20A,simple,True,unknown,850,True,True,True,"Homeware > Appliances > Small Appliances > Cookers, Homeware, Homeware > Appliances > Small Appliances",
30998,QW4P7930983,Condere Induction cooker - C-ctsf15A,simple,True,unknown,650,True,True,True,"Homeware > Appliances > Small Appliances > Cookers, Homeware, Homeware > Appliances > Small Appliances",
31006,5ZUQ8M31006,7 Piece Cast Iron Dutch Oven Cookware Set,simple,True,unknown,1550,True,True,True,"Homeware > Kitchenware > Cookware & Bakeware, Homeware, Homeware > Kitchenware",
31012,MQSG7C31012,Condere Remote-Controlled Pedestal Mist Fan - p18 A,simple,True,unknown,1650,True,True,True,"Homeware > Fans & Heaters, Homeware",
31018,D6AI2H31018,Countertop 4 Burner Gas Hob - RH-4004,simple,True,unknown,1450,True,True,True,"Homeware, Homeware > Appliances > Stoves",
31021,4Y3PVR31021,Aucma Stand Mixer - SC-209,simple,True,unknown,1550,True,True,True,"Homeware > Appliances > Small Appliances > Blenders & Mixers, Homeware",
31024,JQH6YD31024,Aucma Slow Juicer - ASJP-AE003,simple,True,unknown,1450,True,True,True,"Homeware > Appliances, Homeware > Appliances > Small Appliances > Blenders & Mixers, Homeware",
31028,4Y3PVR31021,Aucma Stand Mixer - SC-223,simple,True,unknown,1750,True,True,True,"Homeware > Appliances > Small Appliances > Blenders & Mixers, Homeware",
31057,KHMLXR31057,12 ACS (10407 BTU) Alaska SH Series Midwall Split Unit Airconditioner – Complete Set,simple,True,unknown,6500,True,True,True,"Homeware > Air Conditioners, Homeware",
31174,TE912U31174,INAH SUPERIOR GRAPE JUICE - Cabernet Sauvignon,simple,True,unknown,85,True,True,True,Lifestyle & Everyday Essentials > Inah Superior Grape Juice,
31178,TE912U31174,INAH SUPERIOR GRAPE JUICE - Merlot,simple,True,unknown,85,True,True,True,Lifestyle & Everyday Essentials > Inah Superior Grape Juice,
31182,TE912U31174,INAH SUPERIOR GRAPE JUICE - Shiraz,simple,True,unknown,85,True,True,True,Lifestyle & Everyday Essentials > Inah Superior Grape Juice,
31186,TE912U31174,INAH SUPERIOR GRAPE JUICE - Rossore,simple,True,unknown,85,True,True,True,Lifestyle & Everyday Essentials > Inah Superior Grape Juice,
31189,TE912U31174,INAH SUPERIOR GRAPE JUICE - Sauvignon Blanc,simple,True,unknown,85,True,True,True,Lifestyle & Everyday Essentials > Inah Superior Grape Juice,
31192,34H4IF31192,Palestine Cola Original,variable,True,unknown,,False,True,True,"Lifestyle & Everyday Essentials, Lifestyle & Everyday Essentials > Palestine Cola",no_price
