wc_id,sku,name,type,published,supplier,regular_price,has_price,has_image,has_desc,categories,gaps
9994,F01620,Mallet Rubber Black,simple,False,impulse,150,True,True,False,"All Products, Hardware > Hand Tools > Hammers, Hardware",no_description
9995,9902054129618,Clear Tape 50m,simple,True,unknown,120,True,True,False,"All Products, Lifestyle & Everyday Essentials > Stationery",no_description
9996,9902054129632,Clear Tape 100m,simple,True,unknown,130,True,True,False,"All Products, Lifestyle & Everyday Essentials > Stationery",no_description
9997,9902054129663,Brown Tape 100m,simple,True,unknown,130,True,True,False,"All Products, Lifestyle & Everyday Essentials > Stationery",no_description
9998,9902054129687,Brown Tape 50m,variable,True,unknown,,False,True,True,"All Products, Hardware, Lifestyle & Everyday Essentials, Lifestyle & Everyday Essentials > Stationery, Lifestyle & Everyday Essentials > Under R99",no_price
9999,F02064,C-Breaker Din Rail White 10A,simple,True,impulse,140,True,True,False,"All Products, Hardware > Electrical > Earth Leakage, Hardware > Electrical, Lifestyle & Everyday Essentials > Under R99",no_description
10000,F02065,C-Breaker Din Rail White 20A,simple,True,impulse,150,True,True,False,"All Products, Hardware > Electrical > Earth Leakage, Hardware > Electrical, Lifestyle & Everyday Essentials > Under R99",no_description
10001,F02066,C-Breaker Din Rail White 25A,simple,True,impulse,160,True,True,False,"All Products, Hardware > Electrical > Earth Leakage, Hardware > Electrical, Lifestyle & Everyday Essentials > Under R99",no_description
10002,F02067,C-Breaker Din Rail White 32A,simple,True,impulse,170,True,True,False,"All Products, Hardware > Electrical > Earth Leakage, Hardware > Electrical, Lifestyle & Everyday Essentials > Under R99",no_description
10003,F02068,C-Breaker Din Rail White 40A,simple,True,impulse,145,True,True,False,"All Products, Hardware > Electrical > Earth Leakage, Hardware > Electrical, Lifestyle & Everyday Essentials > Under R99",no_description
10004,F02069,C-Breaker Din Rail White 50A,simple,True,impulse,150,True,True,False,"All Products, Hardware > Electrical > Earth Leakage, Hardware > Electrical, Lifestyle & Everyday Essentials > Under R99",no_description
10008,F00884-01,Discus Lock Stainless Steel,variable,True,unknown,,False,True,True,"All Products, Hardware, Hardware > Locks & Clamps, Lifestyle & Everyday Essentials > Under R99",no_price
10012,9902054134742,Alco Iron Disc,simple,False,unknown,160,True,True,False,"All Products, Hardware > Cutting Tools, Hardware",no_description
10014,9902054134773,Steel Cutting Disk,variable,True,unknown,,False,True,True,"All Products, Hardware > Cutting Tools, Hardware",no_price
10015,F01100-01,Stone Cutting Disc,variable,False,unknown,,False,True,True,"All Products, Hardware > Cutting Tools, Hardware",no_price
10017,F01000-01,Diamond Cutting Disc Plain,variable,True,unknown,,False,True,True,"All Products, Hardware > Cutting Tools, Hardware, Lifestyle & Everyday Essentials > Under R99",no_price
10018,F00998-01,Diamond Cutting Disc Segmented,variable,True,unknown,,False,True,True,"All Products, Hardware, Hardware > Cutting Tools",no_price
10019,9902054134834,Alco Segmented Disc 115mm,simple,True,unknown,180,True,True,False,"All Products, Hardware > Cutting Tools, Hardware",no_description
10020,9902054134841,Alco Plain Disc 115mm,simple,False,unknown,190,True,True,False,"All Products, Hardware > Cutting Tools, Hardware",no_description
10021,F02208,Diamond Blade Turbo 115mm,simple,False,impulse,99,True,True,True,"All Products, Hardware > Cutting Tools, Hardware",
10022,F02209,Diamond Blade Turbo 230mm,simple,True,impulse,199,True,True,True,"All Products, Hardware > Cutting Tools, Hardware",
10025,9902054134933,"Alco Iron 3"" 75 x 1.20mm Pair",simple,False,unknown,130,True,True,False,"All Products, Hardware, Hardware > Locks & Clamps",no_description
10031,9902054135039,Alco Roofing Screws 75mm,simple,True,makokoya,40,True,True,False,"Hardware > Buidling Materials, Hardware, Hardware > Locks & Clamps, Lifestyle & Everyday Essentials > Under R99",no_description
10032,9902054135046,Alco Roofing Screws 90mm,simple,True,makokoya,60,True,True,False,"Hardware > Buidling Materials, Hardware, Hardware > Locks & Clamps, Lifestyle & Everyday Essentials > Under R99",no_description
10033,9902054135053,Alco Roofing Screws 120mm,simple,True,makokoya,80,True,True,False,"Hardware > Buidling Materials, Hardware, Hardware > Locks & Clamps, Lifestyle & Everyday Essentials > Under R99",no_description
10035,F02041,Adaptor 1 x 2 Pin RND's 5's,simple,True,impulse,79,True,True,False,"All Products, Hardware > Electrical, Hardware > Electrical > Multiplugs & Adapters",no_description
10036,F02042,Adaptor 1 x Euro 1 x Suko 5's,simple,False,impulse,99,True,True,False,"All Products, Hardware > Electrical, Hardware > Electrical > Multiplugs & Adapters",no_description
10038,9902054344738,Adaptor 3 x 2 Pin R24,simple,False,unknown,170,True,True,False,"All Products, Hardware > Electrical, Hardware > Electrical > Multiplugs & Adapters, Lifestyle & Everyday Essentials > Under R99",no_description
10039,F02038,Adaptor 2 x 3 R19,simple,False,impulse,50,True,True,False,"All Products, Hardware > Electrical, Hardware > Electrical > Multiplugs & Adapters, Lifestyle & Everyday Essentials > Under R99",no_description
10040,F02040,Adaptor 1x3 Pin 2x2 Pin,simple,False,impulse,79,True,True,False,"All Products, Hardware > Electrical, Hardware > Electrical > Multiplugs & Adapters",no_description
10041,F02045,Adaptor 3 x 3 Pin R20,simple,True,impulse,80,True,True,False,"All Products, Hardware > Electrical, Hardware > Electrical > Multiplugs & Adapters, Lifestyle & Everyday Essentials > Under R99",no_description
10042,F02046,Adaptor 1 x Suko 12mm x 20m,simple,False,impulse,200,True,True,False,"All Products, Hardware > Electrical, Hardware > Electrical > Multiplugs & Adapters, Lifestyle & Everyday Essentials > Under R99",no_description
10043,F02056,3 Pin Rubber Plug,simple,False,impulse,160,True,True,True,"All Products, Hardware > Electrical, Hardware > Electrical > Multiplugs & Adapters, Lifestyle & Everyday Essentials > Under R99",
10044,F02037,Janus Coupler Rubber,simple,False,impulse,155,True,True,True,"Hardware > Electrical, Hardware > Electrical > Multiplugs & Adapters, Lifestyle & Everyday Essentials > Under R99",
10045,F02033,Multi Plug 3 x 3 Pin R33,simple,True,impulse,200,True,True,True,"All Products, Hardware > Electrical, Hardware > Electrical > Multiplugs & Adapters",
