sku,name,wholesale_price,retail_price,brand
F02204,"PVC Red 10.5"" Gloves",,14.95,
F02205,"Long PVC Red 14"" Gloves",,21.95,
F02564,"Welding 10.5"" Gloves",,19.95,
F02569,"Welding 11"" Gloves",,34.95,
F02567,Welding Long Red Gloves,,46.95,
F03156,Heavy Duty Reflective All Purpose Gloves,,59.95,Safety
F02817,Ear Plug Disposable Cordless,,2.95,
F02816,Ear Plug Reusable Corded,,5.0,
F02818,Ear Muff Protector,,34.5,
F02572,Helmet Workers Yellow,,16.95,ALCO
F02571,Helmet Better Quality Yellow,,26.95,ALCO
F02812,Helmet SABS 6 Colors,,34.95,
F02565,Danger Vest Mesh Type Reflector,,18.95,
F02813,Danger Waist Ct Orng Green Polyester Zip,,47.95,
F00421,Tape 48mm x 40mic Full 50m Clear,7.36,265.0,
F00620,Tape 48mm x 40mic Full 50m Brown,7.36,265.0,
F00422,Tape 48mm x 40mic Full 100m Clear,10.7,385.0,
F00621,Tape 48mm x 40mic Full 100m Brown,10.7,385.0,
F02524,ALCO Multi-Purpose Silicone Sealant 300ML 368 White,22.95,23.95,ALCO
F02527,ALCO Multi-Purpose Silicone Sealant 300ML 368 Grey,22.95,23.95,ALCO
F02436,Grass Slasher Plastic Handle,,35.95,
F02437,Pick Handle Fibre-Glass Yellow,,81.25,
F02435,Hoe Head 2LB,,56.25,
F02434,Hoe Head 2.5LB,,62.5,
F02440,Pick Head 2.5KG,,145.0,
F02441,Pick Head 3KG,,160.0,
F02439,Pick Mattock 5LB,,105.0,
F02438,Cutter Mattock 5LB,,105.9,
F02446,Spade 1.5KG Flat,,79.95,
F02445,Flat Spade 2KG,,99.95,
F02444,Square Shovel Spade 2KG,,110.5,
F02443,Round Shovel Spade 2KG,,103.5,
F02442,Fork Spade,,119.25,
F01870,CATCH GRIPPER NYLON,,21.95,ALCO
F01875,SHELF SAFETY SUPPORT,,30.95,ALCO
F01815,TOWER BOLT 150MM,,16.49,ALCO
F01881,HASP LOCK CYLINDER BRASS 75MM,,59.95,ALCO
F01879,HASP LOCK CYLINDER BRASS 100MM,,91.5,ALCO
F01880,HASP LOCK CYLINDER CHROME 75MM,,57.95,ALCO
F01878,HASP LOCK CYLINDER CHROME 100MM,,88.95,ALCO
F01464,PADBOLT CARDED GALV +SCREWS 200MM,,21.95,
F00963,Ski Ropes Nylon 4MM x 10M,,5.59,ALCO
F00965,Ski Ropes Nylon 6MM x 10M,,12.45,ALCO
F00964,Ski Ropes Nylon 4MM x 20M,,10.49,ALCO
F00966,Ski Ropes Nylon 6MM x 20M,,16.35,ALCO
F00970,Ski Ropes Nylon 10MM x 20M,,37.8,ALCO
F00967,Ski Ropes Nylon 8MM x 10M,,16.5,ALCO
F00968,Ski Ropes Nylon 8MM x 20M,,31.5,ALCO
F02324,DIAMOND COOLER BOX PRIDE ASSTD COLOURS 25LT,,153.95,
F00417,WHITE FOLDING TABLE,399.0,409.0,
F02776,BRAAI STAND SUNNY LARGE 62 x 30 x 60CM,,189.95,SUNNY
F00960,Hosepipe + Fittings 12MM x 20M,,85.95,ALCO
F00646,Hosepipe + Fittings 12MM x 30M,,125.95,ALCO
F00961,Hosepipe + Fittings 20MM x 30M,,215.95,ALCO
F00884,Lock Discus Stainless Steel 60MM,,27.95,
F00882,Lock Discus Stainless Steel 70MM,,28.95,
F00885,Lock Discus Stainless Steel 80MM,,52.95,
F00883,Lock Discus Stainless Steel 90MM,,62.95,
F01179,Mortice Lockset Chrome,,24.95,Guardtek
F00872,Mortice Lockset Brass,,26.95,Guardtek
F01306,Awning (Alco) Brown Hollow 0.8 x 1M,279.0,289.0,ALCO
F01305,Awning (Alco) Brown Hollow 0.8 x 1.2M,339.0,369.0,ALCO
F02429,Awning (Alco) Brown Hollow 1 x 1M,359.0,389.0,ALCO
F02502,Waterproofing Membrane 200mm*10M,,19.5,
F02497,Waterproofing Membrane 190mm*8M,,18.5,GROB
F02433,Shade Net 80% Shade 3 x 50M,2350,2395,
F02432,Shade Net 40% Shade 3 x 50M,1395,1450,
F02477,Jakara Gris Wall Cladding UV Sheet 2.7M,359.0,379.0,
F02482,Angel White Wall Cladding UV Sheet 2.7M,359.0,379.0,
F02483B,Venato Carara B Wall Cladding UV Sheet 2.7M,359.0,379.0,
F02487A,Romano Grey A Wall Cladding UV Sheet 2.7M,359.0,379.0,
F02742,Tempo Gold Gilded Series Wall Cladding UV Sheet,379.0,399.0,
F02743,Calcutta Gold Gilded Series Wall Cladding UV Sheet,379.0,399.0,
F02900,Blanco Gold Gilded Series Wall Cladding UV Sheet,379.0,399.0,
F02901,Apollo Gold Gilded Series Wall Cladding UV Sheet,379.0,399.0,
F02480,Sahara Marble Wall Cladding UV Sheet 2.7M,,389.0,
F02481,Swiss Carara Wall Cladding UV Sheet 2.7M,,389.0,
F02741,Milani White Wall Cladding UV Sheet 2.7M,,389.0,
F02739,Milani Ink Wall Cladding UV Sheet 2.7M,,389.0,
F02486A,Alcora Gris A Wall Cladding UV Sheet 2.7M,,389.0,
F03273,Venato Natural Wall Cladding UV Sheet 2.7M,,389.0,
F02489,City Grey Wall Cladding UV Sheet 2.7M,,389.0,
F03259,Bling Alba,,379.0,Bling Series
F03264,Bling Aqua,,379.0,Bling Series
F03266,Bling Classico,,379.0,Bling Series
F03271,Bling Cosmic,,379.0,Bling Series
F03270,Bling Lorenzo,,379.0,Bling Series
F03257,Bling Royal,,379.0,Bling Series
F03261,Bling Verde,,379.0,Bling Series
F02095,Extension Cord ±5M,,33.5,
F02034,Extension Cord ±3M,,25.95,
F02347,Extension Cord ±10M,,43.5,
F02035,Extension Cord ±15M,,58.5,
F02036,Extension Cord ±20M,,72.95,
F02056,Plug 3 Pin Rubber Tyson,,11.0,Tyson
F02032,Lamp Holder Batten Nylon,,2.99,
F02048,Lamp Holder Batten Brass,,11.95,
F02509,Wall Switch 1 Lever A101,,11.5,
F02508,Wall Switch 2 Lever A102,,13.95,
F02514,Wall Switch 3 Lever A103,,17.5,
F02515,Wall Switch Single 4 x 2 M08,,17.5,
F02507,Wall Socket Single 4 x 4,,22.5,
F02505,Wall Socket Double 4 x 4,,26.95,
F02506,Isolator Switch 4 x 4 60A M07,,42.0,
F02345,Emergency Bulb 9W B22 Pin Type,,35.95,TYSON
F02346,Emergency Bulb 9W E27 Screw Type,,35.95,TYSON
F02063,Fluoresent Tube Lamp 16W 2D,,23.95,TYSON
F02057,Globe LED 5W B22 Pin 10's -A60,,82.5,TYSON
F02058,Globe LED 5W E27 Screw 10's -A60,,79.95,TYSON
F02059,Globe LED 7W B22 Pin,,8.99,TYSON
F02061,Globe LED 9W B22 Pin 10's - A60,,102.0,TYSON
F02062,Globe LED 9W E27 Screw 10's - A60,,102.0,TYSON
F02060,Globe LED 7W E27 Screw 10's - A60,,89.95,TYSON
F02039,ADAPTOR 1x2 PIN SQUARE R17 5's,,32.95,
F02041,ADAPTOR 1x2 PIN ROUND R16 5's,,32.95,
F02042,ADAPTOR 1 x EURO 1 x SUKO R18 5's,,44.95,
F02038,ADAPTOR 2 x 3 PIN R19,,19.5,
F02040,ADAPTOR 1 x 3 PIN 2 x 2 PIN R21,,20.95,
F02045,ADAPTOR 3 X 3 PIN R20,,24.95,
F02046,ADAPTOR 2 x 3 PIN 2 x 2 PIN M06A,,26.95,
F02033,MULTI PLUG 3 x 3 PIN R33,,52.95,
F02044,MULTI PLUG 4 WAY R34,,58.95,
F02043,MULTI PLUG 5 WAY R35,,64.95,
F02250,MULTI PLUG 7 WAY,,76.95,
F02047,MULTI PLUG 9 WAY REDISSON,,78.95,REDISSON
F02096,MULTI PLUG + SWITCH 7 WAY,,90.5,
F02097,MULTI PLUG + SWITCH 9 WAY,,108.95,
F02098,MULTI PLUG + SWITCH 11 WAY,,134.95,
F02037,JANUS COUPLER RUBBER,,17.5,REDISSON
F02080,ADAPTOR 1 x 3 PIN 2 x 2 PIN R09,,14.5,
F02071,Earth Leakage Mini Rail White A63 2P,,128.95,
F02079,Earth Leakage Mini Rail Black A63 2P,,149.95,
F02064,C-Breaker Din Rail White 10A White,,18.5,
F02065,C-Breaker Din Rail White 20A White,,18.5,
F02066,C-Breaker Din Rail White 25A White,,18.5,
F02067,C-Breaker Din Rail White 32A White,,19.95,
F02068,C-Breaker Din Rail White 40A White,,19.95,
F02069,C-Breaker Din Rail White 50A White,,19.95,
F02072,C-Breaker Din Rail Black 10A Black,,21.95,
F02073,C-Breaker Din Rail Black 20A Black,,21.95,
F02074,C-Breaker Din Rail Black 25A Black,,21.95,
F02075,C-Breaker Din Rail Black 32A Black,,21.95,
F02076,C-Breaker Din Rail Black 40A Black,,28.95,
F02077,C-Breaker Din Rail Black 50A Black,,28.95,
F02078,C-Breaker Din Rail Black 63A Black,,28.95,
F02161,Stary Sky Light LED Ceiling 18W,85.95,,
F02177,Light LED Ceiling Glass Fitting TLC01,77.95,79.95,
F02512,Down Light Fixed - White,7.95,8.5,
F02510,Down Light Fixed - Chrome,7.95,8.5,
F02511,Down Light Fixed - Gun Metal,7.95,8.5,
F02248,Element Bucket With Lock Lid 10LT,79.95,,
F01990,Door Stopper 2 Sided Black,,16.95,
F01972,Broom Flagged Special,,24.95,
F01971,Broom Flagged Deluxe,,25.95,
F01988,Brush White Wash,,13.95,
F01975,Broom Platform Soft 300MM,,38.95,
F01979,Broom Platform Soft 600MM,,58.95,
F01980,Broom Platform Hard 600MM,,58.95,
F02781,LED Ceiling Light Fancy 28W 390MM - Earth,215.95,230.95,
F02782,LED Ceiling Light Fancy 28W 390MM - High Diamond,215.95,230.95,
F01981,SHOE BRUSH WHITE 10's,,29.95,
F01982,SHOE BRUSH BLACK 10's,,29.95,
F01987,BRUSH BODY ASSORTED 6's,,86.95,
F01986,BRUSH CHUBBY 6's,,35.95,
F01985,BRUSH SCRUBBING 6's S - SHAPE,,37.95,
F01989,FEATHER DUSTER SHORT,,19.95,
F02030,Toilet Brush And Bowl Set Asstd Colors,,21.5,
F02280,Lunch Box Rnd Rani Asstd,,8.95,Rani
F03413,CONTAINER SET RECT. 6PC RAINBOW,,50.95,
F02006,RIBBED MUG PLASTIC ELITE ASST COLORS,,2.99,
F02277,MUG PLASTIC PICNIC ASSTD COLORS 320ML,,3.99,
F02276,MUG PLASTIC ASSTD COLOURS 450ML,,4.19,
